id,nino_id,escenario,resultado_esperado,resultado_obtenido,ok
G01,N001,Trayectoria estable en canal,VERDE en los 3 controles,VERDE (6/100) en los 4 controles disponibles,SI
G02,N002,Descenso progresivo sin cruzar corte,Clasificacion Normal + prioridad AMBAR,Clasificacion Normal en los 3 controles + AMBAR (46/100),SI
G03,N003,Desnutricion aguda establecida,ROJO clasificacion Desnutricion aguda,ROJO (100/100) clasificacion Desnutricion aguda severa,SI
G04,N004,Recuperacion post-intervencion,Tendencia ascendente prioridad decreciente,P/E +1.37 DE y P/T +1.71 DE (ascendente) sin cruce de canal a la baja; AMBAR (31/100) solo por T/E cronico,SI
G05,N005,Mismo dato en g y en kg,Z-scores identicos,Z-scores identicos en ambos registros (8300g = 8.3kg),SI
G06,N006,Talla en metros,Normalizacion correcta sin error,0.635m normalizado a 63.5cm sin error; VERDE (26/100) sin alertas severas,SI
G07,N007,Peso de 85 kg en nino de 2 anos,Rechazado por validacion pre-z,Rechazado por validar() antes de llegar al motor LMS,SI
G08,N008,z = -5.3 real,Aceptado flag BIV confianza degradada a baja,z P/T=-6.34 aceptado flag_biv=True confianza=baja,SI
G09,N009,3 fuentes distintas misma trayectoria,Historial unificado y ordenado,3 controles (CRED/visita domiciliaria/programa social) unificados y ordenados por fecha,SI
G10,N010,Control faltante de 8 meses,Penalizacion por adherencia en el puntaje,"Penalizacion de adherencia aplicada (+15 puntos, ver razones) al evaluar con fecha_referencia posterior a la periodicidad esperada",SI
